Line,From,To,Flow (MW)_NoSw,Utilization (%)_NoSw,Congested_NoSw,Flow (MW)_WithSw,Utilization (%)_WithSw,Congested_WithSw,Status
0,1,2,154.19,32.7,False,154.19,32.7,False,ON
1,1,5,65.96,51.5,False,65.96,51.5,False,ON
2,2,3,58.61,40.4,False,58.61,40.4,False,ON
3,2,4,45.0,28.5,False,45.0,28.5,False,ON
4,2,5,32.14,20.0,False,32.14,20.0,False,ON
5,3,4,-21.46,13.4,False,-21.46,13.4,False,ON
6,4,5,-55.71,8.4,False,-55.71,8.4,False,ON
7,4,7,24.54,17.4,False,24.54,17.4,False,ON
8,4,9,14.08,26.6,False,14.08,26.6,False,ON
9,5,6,35.93,30.7,False,35.93,30.7,False,ON
10,6,11,5.45,4.1,False,5.45,4.1,False,ON
11,6,12,6.43,6.2,False,6.43,6.2,False,ON
12,6,13,14.53,7.2,False,14.53,7.2,False,ON
13,7,8,0.0,0.0,False,0.0,0.0,False,ON
14,7,9,24.54,9.2,False,24.54,9.2,False,ON
15,9,10,5.17,1.6,False,5.17,1.6,False,ON
16,9,14,8.37,8.5,False,8.37,8.5,False,ON
17,10,11,-2.48,1.8,False,-2.48,1.8,False,ON
18,12,13,1.24,1.3,False,1.24,1.3,False,ON
19,13,14,4.29,5.6,False,4.29,5.6,False,ON
