scale,cost_NoSw,num_congested_NoSw,max_utilization_NoSw,cost_WithSw,num_congested_WithSw,max_utilization_WithSw,num_lines_off,cost_savings,cost_savings_pct,congestion_reduction
0.85,1743.7973626499997,0.0,85.9,1743.79736265,0.0,85.9,0.0,-2.2737367544323206e-13,-1.3038996405964205e-14,0.0
0.8674999999999999,1779.6990730574996,0.0,87.7,1779.6990730575,0.0,87.7,0.0,-4.547473508864641e-13,-2.5551923792667607e-14,0.0
0.885,1815.6007834650002,0.0,89.4,1815.6007834650002,0.0,89.4,0.0,0.0,0.0,0.0
0.9025,1851.5024938724998,0.0,91.2,1851.5024938725,0.0,91.2,0.0,-2.2737367544323206e-13,-1.2280495229993989e-14,0.0
0.9199999999999999,1887.40420428,0.0,93.0,1887.4042042800002,0.0,93.0,0.0,-2.2737367544323206e-13,-1.2046898853336492e-14,0.0
0.9375,1923.3059146874998,0.0,94.7,1923.3059146874998,0.0,94.7,0.0,0.0,0.0,0.0
0.955,1959.207625095,1.0,96.5,1959.2076250949997,1.0,96.5,0.0,2.2737367544323206e-13,1.1605389471277039e-14,0.0
0.9724999999999999,1995.1093355024998,1.0,98.3,1995.1093355024998,1.0,98.3,0.0,0.0,0.0,0.0
0.99,2033.1326698461871,1.0,100.0,2032.0110459099983,1.0,99.8,1.0,1.1216239361888256,0.05516727721824863,0.0
1.0074999999999998,2197.7150526956784,1.0,100.0,2067.9127563174998,1.0,98.6,1.0,129.80229637817865,5.906238673615373,0.0
1.025,2362.2974355451715,1.0,100.0,2103.8144667249994,1.0,96.7,1.0,258.4829688201721,10.942016230928997,0.0
1.0425,2526.8798183946637,1.0,100.0,2139.7161771325,2.0,98.3,1.0,387.16364126216376,15.321806697879692,-1.0
1.06,2691.462201244167,1.0,100.0,2175.61788754,2.0,100.0,1.0,515.8443137041668,19.16595051811281,-1.0
1.0775,2856.0445840936695,1.0,100.0,2670.517380506874,1.0,100.0,3.0,185.52720358679562,6.495949139591964,0.0
1.095,3020.6269669431617,1.0,100.0,2832.2361747920613,2.0,100.0,3.0,188.3907921511004,6.2368109075629965,-1.0
1.1124999999999998,3185.209349792653,1.0,100.0,2993.9549690772437,2.0,100.0,3.0,191.2543807154093,6.004452446049092,-1.0
1.13,,,,3155.6737633624234,2.0,100.0,3.0,,,
1.1475,,,,,,,,,,
1.165,,,,,,,,,,
1.1824999999999999,,,,,,,,,,
1.2,,,,,,,,,,
